sepal_length,sepal_width,petal_length,petal_width,species
6.6,3.0,4.4,1.4,Iris-versicolor
7.2,3.6,6.1,2.5,Iris-versicolor
5.7,2.9,4.2,1.3,Iris-versicolor
7.6,3.0,6.6,2.1,Iris-virginica
5.6,3.0,4.5,1.5,Iris-versicolor
5.1,3.5,1.4,0.2,Iris-setosa
7.7,2.8,6.7,0.8904279014503111,Iris-virginica
5.8,2.7,4.1,1.0,Iris-versicolor
5.2,3.4,1.4,0.2,Iris-setosa
5.0,3.5,1.3,0.3,Iris-setosa
5.1,3.8,2.940122466424408,0.4,Iris-setosa
5.0,2.883573205138472,3.5,1.0,Iris-versicolor
6.3,2.7,4.9,1.8,Iris-setosa
4.8,3.4,6.1,0.2,Iris-setosa
6.326129493969974,3.0540000000000003,1.6,0.02446898892709351,Iris-setosa
5.1,3.3,1.7,0.5,Iris-setosa
5.6,2.7,4.2,1.3,Iris-versicolor
5.1,3.4,1.5,0.2,Iris-setosa
5.7,3.0,4.2,1.2,Iris-versicolor
7.7,3.8,6.7,2.2,Iris-virginica
4.6,3.2,1.4,0.2,Iris-setosa
6.2,2.9,4.3,1.3,Iris-versicolor
5.7,2.5,5.0,2.0,Iris-virginica
5.5,4.2,1.4,0.2,Iris-setosa
6.0,3.0,4.8,1.8,Iris-versicolor
5.8,2.7,4.4,1.9,Iris-virginica
6.0,2.2,4.0,1.0,Iris-versicolor
5.4,3.0,4.5,1.5,Iris-versicolor
5.921302480574134,3.4,5.4,2.3,Iris-versicolor
5.5,2.3,4.0,1.3,Iris-versicolor
5.4,3.9,1.7,0.4,Iris-setosa
5.0,2.3,3.3,1.0,Iris-versicolor
6.4,3.0540000000000003,5.3,1.9,Iris-virginica
5.0,3.3,1.4,0.2,Iris-setosa
5.0,2.569414086158813,1.2,0.2,Iris-setosa
5.5,2.4,3.8,1.1,Iris-versicolor
6.7,3.0,5.0,1.7,Iris-versicolor
4.9,3.1,1.5,0.1,Iris-setosa
5.98974575578412,2.8,5.1,2.4,Iris-versicolor
5.0,3.4,1.5,0.2,Iris-setosa
5.0,3.4,1.6,0.6,Iris-setosa
5.9,3.2,1.8983151313048965,0.543777805754746,Iris-versicolor
6.1,3.0,4.6,1.4,Iris-versicolor
4.5,2.3,1.3,0.3,Iris-setosa
6.6,2.9,4.6,1.3,Iris-versicolor
5.5,3.0955416779693756,4.4,1.2,Iris-versicolor
5.3,3.7,1.5,0.2,Iris-setosa
5.843333333333334,3.0,4.1,1.3,Iris-versicolor
7.3,2.9,3.3530286614652964,0.6264781955027519,Iris-virginica
6.7,3.3,5.7,2.1,Iris-virginica
5.1,3.7,1.5,0.4,Iris-setosa
4.9,2.4,3.3,1.0,Iris-versicolor
6.7,3.3,5.7,2.5,Iris-virginica
5.843333333333334,3.0,5.8,1.6,Iris-virginica
4.9,3.1,1.5,0.1,Iris-setosa
6.7,3.1,5.6,2.4,Iris-versicolor
4.9,3.0,1.4,0.2,Iris-setosa
6.9,3.1,4.9,1.5,Iris-versicolor
7.4,2.8,6.1,1.9,Iris-virginica
6.3,2.9,5.6,1.8,Iris-setosa
5.7,2.8,4.1,1.3,Iris-setosa
6.5,3.0,3.758666666666666,1.8,Iris-virginica
6.3,3.0,4.4,1.3,Iris-versicolor
6.4,2.9,4.3,1.3,Iris-versicolor
5.6,2.8,3.758666666666666,2.0,Iris-virginica
5.9,3.0,5.1,1.8,Iris-virginica
5.4,2.675241002797424,1.2,0.2,Iris-setosa
6.1,2.8,4.0,1.3,Iris-versicolor
5.1,3.0540000000000003,4.5,1.7,Iris-virginica
5.8,4.0,1.2,0.2,Iris-setosa
5.8,2.6,3.556158802872639,1.2,Iris-versicolor
7.1,2.3,5.9,2.1,Iris-virginica
